time,christina,charles,yvonne,jonathan
2013-08-03 18:45:56,3,1,4,2
2013-08-03 18:45:57,3,1,4,2
2013-08-03 18:45:58,3,1,4,2
2013-08-03 18:45:59,3,1,4,2
2013-08-03 18:46:00,3,1,4,2
2013-08-03 18:46:01,3,1,4,2
2013-08-03 18:46:02,3,1,4,2
2013-08-03 18:46:03,3,1,4,2
2013-08-03 18:46:04,3,1,4,2
2013-08-03 18:46:05,3,1,4,2
2013-08-03 18:46:06,3,1,4,1
2013-08-03 18:46:07,3,1,4,1
2013-08-03 18:46:08,2,1,4,1
2013-08-03 18:46:09,2,1,4,2
2013-08-03 18:46:10,2,1,4,2
2013-08-03 18:46:11,2,1,4,2
2013-08-03 18:46:12,2,1,4,0
2013-08-03 18:46:13,2,1,4,2
2013-08-03 18:46:14,2,1,4,2
2013-08-03 18:46:15,2,1,4,2
2013-08-03 18:46:16,2,1,4,2
2013-08-03 18:46:17,2,1,4,2
2013-08-03 18:46:18,2,1,4,2
2013-08-03 18:46:19,2,1,4,2
2013-08-03 18:46:20,2,1,4,2
2013-08-03 18:46:21,0,1,4,2
2013-08-03 18:46:22,0,1,4,2
2013-08-03 18:46:23,2,1,4,2
2013-08-03 18:46:24,2,1,4,4
2013-08-03 18:46:25,2,1,4,4
2013-08-03 18:46:26,2,1,4,4
2013-08-03 18:46:27,1,1,4,4
2013-08-03 18:46:28,2,1,6,3
2013-08-03 18:46:29,2,1,6,2
2013-08-03 18:46:30,2,1,4,2
2013-08-03 18:46:31,3,1,4,2
2013-08-03 18:46:32,4,1,4,2
2013-08-03 18:46:33,4,1,4,2
2013-08-03 18:46:34,4,1,4,2
2013-08-03 18:46:35,4,1,4,2
2013-08-03 18:46:36,4,1,4,2
2013-08-03 18:46:37,3,1,4,2
2013-08-03 18:46:38,3,1,4,2
2013-08-03 18:46:39,2,1,4,2
2013-08-03 18:46:40,2,1,4,0
2013-08-03 18:46:41,2,1,6,2
2013-08-03 18:46:42,2,1,6,0
2013-08-03 18:46:43,2,2,6,4
2013-08-03 18:46:44,2,1,6,4
2013-08-03 18:46:45,2,1,6,4
2013-08-03 18:46:46,2,2,6,6
2013-08-03 18:46:47,2,2,6,6
2013-08-03 18:46:48,2,2,6,6
2013-08-03 18:46:49,2,2,6,6
2013-08-03 18:46:50,2,2,6,6
2013-08-03 18:46:51,2,2,6,6
2013-08-03 18:46:52,2,2,4,6
2013-08-03 18:46:53,2,2,4,6
2013-08-03 18:46:54,2,2,4,6
2013-08-03 18:46:55,2,2,6,6
2013-08-03 18:46:56,2,2,6,6
2013-08-03 18:46:57,2,2,6,6
2013-08-03 18:46:58,2,2,6,6
2013-08-03 18:46:59,2,2,6,6
2013-08-03 18:47:00,2,2,6,6
2013-08-03 18:47:01,2,2,7,6
2013-08-03 18:47:02,2,2,7,6
2013-08-03 18:47:03,2,2,7,6
2013-08-03 18:47:04,2,2,7,7
2013-08-03 18:47:05,2,2,7,1
2013-08-03 18:47:06,2,2,7,2
2013-08-03 18:47:07,2,2,2,2
2013-08-03 18:47:08,2,2,0,2
2013-08-03 18:47:09,2,2,0,2
2013-08-03 18:47:10,2,2,0,2
2013-08-03 18:47:11,2,2,2,2
2013-08-03 18:47:12,2,2,3,2
2013-08-03 18:47:13,2,2,3,2
2013-08-03 18:47:14,2,2,4,2
2013-08-03 18:47:15,2,2,4,2
2013-08-03 18:47:16,2,2,4,2
2013-08-03 18:47:17,2,2,4,2
2013-08-03 18:47:18,2,2,4,2
2013-08-03 18:47:19,2,2,3,2
2013-08-03 18:47:20,2,2,2,2
2013-08-03 18:47:21,2,2,2,2
2013-08-03 18:47:22,2,2,2,2
2013-08-03 18:47:23,2,2,2,2
2013-08-03 18:47:24,2,2,2,2
2013-08-03 18:47:25,2,2,2,2
2013-08-03 18:47:26,2,2,2,2
2013-08-03 18:47:27,2,2,2,2
2013-08-03 18:47:28,2,2,2,2
2013-08-03 18:47:29,2,2,2,2
2013-08-03 18:47:30,2,2,2,2
2013-08-03 18:47:31,2,2,2,2
2013-08-03 18:47:32,2,2,2,2
2013-08-03 18:47:33,2,2,2,2
2013-08-03 18:47:34,2,0,2,2
