2013-08-01T22:56:12.624093, touch, charles, 580.5, 485.0, 3.9051249027252197
2013-08-01T22:56:12.640062, touch, charles, 582.5, 479.0, 6.324555397033691
2013-08-01T22:56:12.662000, touch, charles, 583.5, 473.5, 5.590169906616211
2013-08-01T22:56:12.674028, touch, charles, 584.0, 468.5, 5.024937629699707
2013-08-01T22:56:12.690678, touch, charles, 584.0, 461.0, 7.5
2013-08-01T22:56:12.710883, touch, charles, 584.0, 453.0, 8.0
2013-08-01T22:56:12.729154, touch, charles, 584.0, 445.0, 8.0
2013-08-01T22:56:12.740516, touch, charles, 583.0, 439.0, 6.082762718200684
2013-08-01T22:56:12.755491, touch, charles, 579.5, 431.5, 8.276473045349121
2013-08-01T22:56:12.779104, touch, charles, 576.0, 424.5, 7.82623815536499
2013-08-01T22:56:12.790885, touch, charles, 573.0, 418.0, 7.158910751342773
2013-08-01T22:56:12.806912, touch, charles, 567.5, 412.0, 8.139410018920898
2013-08-01T22:56:12.825315, touch, charles, 561.5, 403.0, 10.816654205322266
2013-08-01T22:56:12.842695, touch, charles, 555.0, 395.5, 9.92471694946289
2013-08-01T22:56:12.857449, touch, charles, 548.5, 389.0, 9.192388534545898
2013-08-01T22:56:12.872088, touch, charles, 541.5, 382.5, 9.552486419677734
2013-08-01T22:56:12.894684, touch, charles, 534.5, 376.0, 9.552486419677734
2013-08-01T22:56:12.906010, touch, charles, 527.0, 370.0, 9.604686737060547
2013-08-01T22:56:12.922806, touch, charles, 519.0, 363.5, 10.307764053344727
2013-08-01T22:56:12.942242, touch, charles, 510.0, 358.0, 10.547511100769043
2013-08-01T22:56:12.957271, touch, charles, 502.0, 353.5, 9.178779602050781
2013-08-01T22:56:12.973426, touch, charles, 493.0, 349.0, 10.062305450439453
2013-08-01T22:56:12.989071, touch, charles, 486.0, 345.5, 7.82623815536499
2013-08-01T22:56:13.012341, touch, charles, 478.0, 342.0, 8.732124328613281
2013-08-01T22:56:13.023694, touch, charles, 470.0, 339.5, 8.381526947021484
2013-08-01T22:56:13.045130, touch, charles, 461.5, 337.0, 8.86002254486084
2013-08-01T22:56:13.056817, touch, charles, 453.0, 334.5, 8.86002254486084
2013-08-01T22:56:13.075535, touch, charles, 445.0, 333.5, 8.062257766723633
2013-08-01T22:56:13.089455, touch, charles, 437.0, 332.5, 8.062257766723633
2013-08-01T22:56:13.105255, touch, charles, 430.0, 331.5, 7.071067810058594
2013-08-01T22:56:13.127269, touch, charles, 423.0, 331.5, 7.0
2013-08-01T22:56:13.138861, touch, charles, 416.0, 331.5, 7.0
2013-08-01T22:56:13.156696, touch, charles, 408.0, 331.5, 8.0
2013-08-01T22:56:13.174671, touch, charles, 401.0, 331.5, 7.0
2013-08-01T22:56:13.188944, touch, charles, 394.0, 332.0, 7.017834186553955
2013-08-01T22:56:13.207404, touch, charles, 387.0, 333.5, 7.158910751342773
2013-08-01T22:56:13.222855, touch, charles, 380.5, 335.0, 6.67083215713501
2013-08-01T22:56:13.254965, touch, charles, 374.0, 337.0, 6.8007354736328125
2013-08-01T22:56:13.257651, touch, charles, 367.5, 339.5, 6.964194297790527
2013-08-01T22:56:13.281287, touch, charles, 361.5, 343.0, 6.946221828460693
2013-08-01T22:56:13.292694, touch, charles, 356.5, 347.0, 6.4031243324279785
2013-08-01T22:56:13.311356, touch, charles, 352.0, 350.5, 5.7008771896362305
2013-08-01T22:56:13.325934, touch, charles, 347.0, 354.5, 6.4031243324279785
2013-08-01T22:56:13.346907, touch, charles, 343.0, 358.5, 5.656854152679443
2013-08-01T22:56:13.362426, touch, charles, 339.5, 363.5, 6.103277683258057
2013-08-01T22:56:13.372221, touch, charles, 336.0, 367.5, 5.315073013305664
2013-08-01T22:56:13.393402, touch, charles, 333.5, 371.5, 4.7169904708862305
2013-08-01T22:56:13.406197, touch, charles, 330.5, 376.0, 5.408327102661133
2013-08-01T22:56:13.431141, touch, charles, 328.5, 379.0, 3.605551242828369
2013-08-01T22:56:13.453827, touch, charles, 327.0, 383.5, 4.7434163093566895
2013-08-01T22:56:13.460567, touch, charles, 325.0, 387.0, 4.031128883361816
2013-08-01T22:56:13.478048, touch, charles, 324.0, 390.5, 3.640054941177368
2013-08-01T22:56:13.490096, touch, charles, 323.0, 394.5, 4.123105525970459
2013-08-01T22:56:13.514221, touch, charles, 321.5, 398.0, 3.8078866004943848
2013-08-01T22:56:13.522605, touch, charles, 320.5, 400.5, 2.692582368850708
2013-08-01T22:56:13.542655, touch, charles, 320.5, 403.5, 3.0
2013-08-01T22:56:13.556913, touch, charles, 320.0, 406.5, 3.041381359100342
2013-08-01T22:56:13.572319, touch, charles, 319.5, 409.0, 2.5495097637176514
2013-08-01T22:56:13.591219, touch, charles, 319.5, 411.5, 2.5
2013-08-01T22:56:13.605994, touch, charles, 319.5, 414.0, 2.5
2013-08-01T22:56:13.625367, touch, charles, 319.5, 417.0, 3.0
2013-08-01T22:56:13.637695, touch, charles, 319.5, 419.5, 2.5
2013-08-01T22:56:13.662434, touch, charles, 319.5, 422.0, 2.5
2013-08-01T22:56:13.672381, touch, charles, 320.5, 425.0, 3.1622776985168457
2013-08-01T22:56:13.689626, touch, charles, 321.5, 427.0, 2.2360680103302
2013-08-01T22:56:13.707236, touch, charles, 323.0, 429.5, 2.915475845336914
2013-08-01T22:56:13.727081, touch, charles, 324.5, 431.0, 2.1213202476501465
2013-08-01T22:56:13.739170, touch, charles, 326.0, 433.0, 2.5
2013-08-01T22:56:13.762179, touch, charles, 329.0, 435.5, 3.9051249027252197
2013-08-01T22:56:13.777194, touch, charles, 333.5, 438.5, 5.408327102661133
2013-08-01T22:56:13.790127, touch, charles, 337.5, 441.5, 5.0
2013-08-01T22:56:13.809990, touch, charles, 342.0, 442.5, 4.609772205352783
2013-08-01T22:56:13.826712, touch, charles, 346.5, 444.5, 4.924428939819336
2013-08-01T22:56:13.841979, touch, charles, 350.5, 446.0, 4.27200174331665
2013-08-01T22:56:13.857945, touch, charles, 354.5, 446.5, 4.031128883361816
2013-08-01T22:56:13.884014, touch, charles, 359.0, 447.0, 4.527692794799805
2013-08-01T22:56:13.898534, touch, charles, 364.0, 447.0, 5.0
2013-08-01T22:56:13.908997, touch, charles, 369.0, 447.0, 5.0
2013-08-01T22:56:13.925313, touch, charles, 374.0, 447.0, 5.0
2013-08-01T22:56:13.939730, touch, charles, 378.0, 447.0, 4.0
2013-08-01T22:56:13.965491, touch, charles, 381.5, 446.5, 3.535533905029297
2013-08-01T22:56:13.972801, touch, charles, 385.5, 445.5, 4.123105525970459
2013-08-01T22:56:13.989035, touch, charles, 388.5, 443.5, 3.605551242828369
2013-08-01T22:56:14.016673, touch, charles, 391.0, 441.5, 3.2015621662139893
2013-08-01T22:56:14.026262, touch, charles, 394.0, 439.0, 3.9051249027252197
2013-08-01T22:56:14.040297, touch, charles, 396.5, 437.0, 3.2015621662139893
2013-08-01T22:56:14.056216, touch, charles, 399.0, 434.0, 3.9051249027252197
2013-08-01T22:56:14.080233, touch, charles, 401.0, 430.0, 4.4721360206604
2013-08-01T22:56:14.089515, touch, charles, 403.0, 426.5, 4.031128883361816
2013-08-01T22:56:14.107765, touch, charles, 404.5, 422.0, 4.7434163093566895
2013-08-01T22:56:14.129632, touch, charles, 405.5, 417.5, 4.609772205352783
2013-08-01T22:56:14.146366, touch, charles, 407.5, 412.5, 5.385164737701416
2013-08-01T22:56:14.160322, touch, charles, 408.0, 408.0, 4.527692794799805
2013-08-01T22:56:14.176210, touch, charles, 408.0, 402.5, 5.5
2013-08-01T22:56:14.190484, touch, charles, 409.0, 397.5, 5.099019527435303
2013-08-01T22:56:14.206263, touch, charles, 409.0, 392.5, 5.0
2013-08-01T22:56:14.222964, touch, charles, 409.0, 386.5, 6.0
2013-08-01T22:56:14.246436, touch, charles, 409.0, 381.0, 5.5
2013-08-01T22:56:14.257691, touch, charles, 409.0, 375.0, 6.0
2013-08-01T22:56:14.275541, touch, charles, 409.0, 369.5, 5.5
2013-08-01T22:56:14.287517, touch, charles, 408.5, 365.5, 4.031128883361816
2013-08-01T22:56:14.311797, touch, charles, 406.5, 359.5, 6.324555397033691
2013-08-01T22:56:14.326609, touch, charles, 405.0, 354.5, 5.220153331756592
2013-08-01T22:56:14.342694, touch, charles, 402.5, 349.5, 5.590169906616211
2013-08-01T22:56:14.358151, touch, charles, 400.0, 345.0, 5.147815227508545
2013-08-01T22:56:14.375697, touch, charles, 397.0, 340.0, 5.830951690673828
2013-08-01T22:56:14.390887, touch, charles, 394.5, 337.0, 3.9051249027252197
2013-08-01T22:56:14.405561, touch, charles, 391.0, 333.0, 5.315073013305664
2013-08-01T22:56:14.431702, touch, charles, 388.0, 330.0, 4.242640495300293
2013-08-01T22:56:14.442217, touch, charles, 384.0, 326.5, 5.315073013305664
2013-08-01T22:56:14.457921, touch, charles, 381.0, 324.0, 3.9051249027252197
2013-08-01T22:56:14.475478, touch, charles, 378.0, 322.0, 3.605551242828369
2013-08-01T22:56:14.491024, touch, charles, 374.0, 319.5, 4.7169904708862305
2013-08-01T22:56:14.508052, touch, charles, 371.0, 317.5, 3.605551242828369
2013-08-01T22:56:14.522124, touch, charles, 367.5, 316.0, 3.8078866004943848
2013-08-01T22:56:14.544506, touch, charles, 364.5, 315.0, 3.1622776985168457
2013-08-01T22:56:14.558035, touch, charles, 361.0, 314.0, 3.640054941177368
2013-08-01T22:56:14.576685, touch, charles, 357.5, 313.0, 3.640054941177368
2013-08-01T22:56:14.589904, touch, charles, 354.5, 313.0, 3.0
2013-08-01T22:56:14.612931, touch, charles, 351.0, 313.0, 3.5
2013-08-01T22:56:14.621967, touch, charles, 347.0, 313.0, 4.0
2013-08-01T22:56:14.641822, touch, charles, 343.5, 313.0, 3.5
2013-08-01T22:56:14.659536, touch, charles, 340.0, 313.0, 3.5
2013-08-01T22:56:14.671701, touch, charles, 336.5, 313.0, 3.5
2013-08-01T22:56:14.690845, touch, charles, 332.5, 313.0, 4.0
2013-08-01T22:56:14.706138, touch, charles, 329.0, 313.0, 3.5
2013-08-01T22:56:14.727956, touch, charles, 325.0, 313.0, 4.0
2013-08-01T22:56:14.740151, touch, charles, 321.5, 314.5, 3.8078866004943848
2013-08-01T22:56:14.756759, touch, charles, 318.0, 315.5, 3.640054941177368
2013-08-01T22:56:14.775011, touch, charles, 313.5, 317.5, 4.924428939819336
2013-08-01T22:56:14.789511, touch, charles, 310.0, 319.0, 3.8078866004943848
2013-08-01T22:56:14.806293, touch, charles, 306.0, 321.5, 4.7169904708862305
2013-08-01T22:56:14.822625, touch, charles, 302.0, 323.5, 4.4721360206604
2013-08-01T22:56:14.845753, touch, charles, 298.5, 325.5, 4.031128883361816
2013-08-01T22:56:14.855443, touch, charles, 296.0, 327.5, 3.2015621662139893
2013-08-01T22:56:14.873743, touch, charles, 293.0, 330.0, 3.9051249027252197
2013-08-01T22:56:14.892734, touch, charles, 290.5, 332.0, 3.2015621662139893
2013-08-01T22:56:14.908498, touch, charles, 288.0, 334.5, 3.535533905029297
2013-08-01T22:56:14.927788, touch, charles, 285.5, 337.0, 3.535533905029297
2013-08-01T22:56:14.940334, touch, charles, 284.0, 339.5, 2.915475845336914
2013-08-01T22:56:14.961928, touch, charles, 282.0, 342.0, 3.2015621662139893
2013-08-01T22:56:14.972629, touch, charles, 280.0, 344.5, 3.2015621662139893
2013-08-01T22:56:14.992432, touch, charles, 278.5, 347.5, 3.3541018962860107
2013-08-01T22:56:15.021545, touch, charles, 276.5, 350.5, 3.605551242828369
2013-08-01T22:56:15.030147, touch, charles, 275.0, 353.0, 2.915475845336914
2013-08-01T22:56:15.041639, touch, charles, 274.0, 356.5, 3.640054941177368
2013-08-01T22:56:15.056623, touch, charles, 273.0, 360.0, 3.640054941177368
2013-08-01T22:56:15.081706, touch, charles, 272.0, 363.5, 3.640054941177368
2013-08-01T22:56:15.092267, touch, charles, 271.5, 367.0, 3.535533905029297
2013-08-01T22:56:15.107001, touch, charles, 270.5, 369.5, 2.692582368850708
2013-08-01T22:56:15.125284, touch, charles, 269.5, 373.5, 4.123105525970459
2013-08-01T22:56:15.138179, touch, charles, 269.5, 376.5, 3.0
2013-08-01T22:56:15.162772, touch, charles, 269.0, 379.5, 3.041381359100342
2013-08-01T22:56:15.171659, touch, charles, 268.5, 382.5, 3.041381359100342
2013-08-01T22:56:15.199989, touch, charles, 268.5, 386.0, 3.5
2013-08-01T22:56:15.208478, touch, charles, 268.5, 389.0, 3.0
2013-08-01T22:56:15.222219, touch, charles, 268.5, 392.5, 3.5
2013-08-01T22:56:15.242122, touch, charles, 268.5, 395.5, 3.0
2013-08-01T22:56:15.261308, touch, charles, 268.5, 398.0, 2.5
2013-08-01T22:56:15.273958, touch, charles, 268.5, 400.5, 2.5
2013-08-01T22:56:15.289376, touch, charles, 269.0, 403.0, 2.5495097637176514
2013-08-01T22:56:15.310709, touch, charles, 269.5, 405.0, 2.0615527629852295
2013-08-01T22:56:15.324977, touch, charles, 271.0, 407.5, 2.915475845336914
2013-08-01T22:56:15.343265, touch, charles, 272.5, 410.0, 2.915475845336914
2013-08-01T22:56:15.357705, touch, charles, 274.5, 413.0, 3.605551242828369
2013-08-01T22:56:15.374612, touch, charles, 277.5, 417.0, 5.0
2013-08-01T22:56:15.389017, touch, charles, 282.5, 422.0, 7.071067810058594
2013-08-01T22:56:15.406065, touch, charles, 288.5, 427.0, 7.8102498054504395
2013-08-01T22:56:15.430212, touch, charles, 295.5, 430.5, 7.82623815536499
2013-08-01T22:56:15.438159, touch, charles, 302.5, 434.5, 8.062257766723633
2013-08-01T22:56:15.460504, touch, charles, 308.0, 437.0, 6.041522979736328
2013-08-01T22:56:15.473988, touch, charles, 314.5, 438.5, 6.67083215713501
2013-08-01T22:56:15.492014, touch, charles, 320.5, 439.5, 6.082762718200684
2013-08-01T22:56:15.505377, touch, charles, 327.0, 440.0, 6.51920223236084
2013-08-01T22:56:15.522309, touch, charles, 333.0, 440.0, 6.0
2013-08-01T22:56:15.542126, touch, charles, 338.0, 440.0, 5.0
2013-08-01T22:56:15.558414, touch, charles, 343.5, 440.0, 5.5
2013-08-01T22:56:15.571731, touch, charles, 349.0, 440.0, 5.5
2013-08-01T22:56:15.588177, touch, charles, 354.5, 438.5, 5.7008771896362305
2013-08-01T22:56:15.612951, touch, charles, 359.0, 437.0, 4.7434163093566895
2013-08-01T22:56:15.641198, touch, charles, 363.0, 435.0, 4.4721360206604
2013-08-01T22:56:15.641378, touch, charles, 367.5, 432.5, 5.147815227508545
2013-08-01T22:56:15.659090, touch, charles, 371.5, 429.5, 5.0
2013-08-01T22:56:15.675398, touch, charles, 375.5, 427.0, 4.7169904708862305
2013-08-01T22:56:15.693508, touch, charles, 378.5, 424.5, 3.9051249027252197
2013-08-01T22:56:15.704372, touch, charles, 381.0, 421.5, 3.9051249027252197
2013-08-01T22:56:15.730211, touch, charles, 383.5, 418.0, 4.3011627197265625
2013-08-01T22:56:15.738486, touch, charles, 386.0, 415.0, 3.9051249027252197
2013-08-01T22:56:15.756177, touch, charles, 388.5, 411.0, 4.7169904708862305
2013-08-01T22:56:15.774696, touch, charles, 390.0, 408.0, 3.3541018962860107
2013-08-01T22:56:15.788966, touch, charles, 391.5, 403.5, 4.7434163093566895
2013-08-01T22:56:15.807040, touch, charles, 393.0, 399.5, 4.27200174331665
2013-08-01T22:56:15.820580, touch, charles, 393.5, 395.0, 4.527692794799805
2013-08-01T22:56:15.844657, touch, charles, 394.0, 390.5, 4.527692794799805
