2013-08-02T15:10:51.521468, touch, yvonne, 549.0, 466.0, 8.32165813446045
2013-08-02T15:10:51.535179, touch, yvonne, 552.0, 459.0, 7.6157732009887695
2013-08-02T15:10:51.550283, touch, yvonne, 553.5, 454.0, 5.220153331756592
2013-08-02T15:10:51.567814, touch, yvonne, 553.5, 447.5, 6.5
2013-08-02T15:10:51.585689, touch, yvonne, 553.5, 442.0, 5.5
2013-08-02T15:10:51.607752, touch, yvonne, 553.5, 436.5, 5.5
2013-08-02T15:10:51.617548, touch, yvonne, 549.5, 430.5, 7.211102485656738
2013-08-02T15:10:51.633102, touch, yvonne, 546.0, 424.5, 6.946221828460693
2013-08-02T15:10:51.661894, touch, yvonne, 540.5, 419.5, 7.433034420013428
2013-08-02T15:10:51.666321, touch, yvonne, 535.0, 414.0, 7.77817440032959
2013-08-02T15:10:51.683033, touch, yvonne, 529.5, 408.5, 7.77817440032959
2013-08-02T15:10:51.701017, touch, yvonne, 523.0, 403.5, 8.200610160827637
2013-08-02T15:10:51.751027, touch, yvonne, 518.0, 399.0, 6.72681188583374
2013-08-02T15:10:51.757678, touch, yvonne, 513.5, 395.5, 5.7008771896362305
2013-08-02T15:10:51.757896, touch, yvonne, 509.0, 392.5, 5.408327102661133
2013-08-02T15:10:51.773995, touch, yvonne, 503.5, 390.5, 5.852349758148193
2013-08-02T15:10:51.789841, touch, yvonne, 498.5, 388.0, 5.590169906616211
2013-08-02T15:10:51.800611, touch, yvonne, 494.5, 386.5, 4.27200174331665
2013-08-02T15:10:51.825309, touch, yvonne, 490.5, 385.5, 4.123105525970459
2013-08-02T15:10:51.841316, touch, yvonne, 487.0, 385.0, 3.535533905029297
2013-08-02T15:10:51.850635, touch, yvonne, 483.5, 384.5, 3.535533905029297
2013-08-02T15:10:51.869983, touch, yvonne, 480.5, 384.5, 3.0
2013-08-02T15:10:51.888999, touch, yvonne, 478.0, 384.5, 2.5
2013-08-02T15:10:51.906617, touch, yvonne, 475.5, 384.5, 2.5
2013-08-02T15:10:51.925255, touch, yvonne, 473.5, 384.5, 2.0
2013-08-02T15:10:51.932391, touch, yvonne, 471.5, 384.5, 2.0
2013-08-02T15:10:51.950890, touch, yvonne, 470.0, 385.0, 1.5811388492584229
2013-08-02T15:10:51.966084, touch, yvonne, 468.5, 385.5, 1.5811388492584229
2013-08-02T15:10:51.983834, touch, yvonne, 467.0, 386.5, 1.8027756214141846
2013-08-02T15:10:52.002533, touch, yvonne, 466.0, 388.0, 1.8027756214141846
2013-08-02T15:10:52.028790, touch, yvonne, 464.5, 390.5, 2.915475845336914
2013-08-02T15:10:52.037071, touch, yvonne, 463.0, 392.5, 2.5
2013-08-02T15:10:52.048617, touch, yvonne, 462.0, 395.0, 2.692582368850708
2013-08-02T15:10:52.070074, touch, yvonne, 461.5, 398.0, 3.041381359100342
2013-08-02T15:10:52.083963, touch, yvonne, 461.0, 400.5, 2.5495097637176514
2013-08-02T15:10:52.100410, touch, yvonne, 460.5, 403.0, 2.5495097637176514
2013-08-02T15:10:52.120027, touch, yvonne, 460.5, 405.0, 2.0
2013-08-02T15:10:52.139652, touch, yvonne, 460.5, 408.0, 3.0
2013-08-02T15:10:52.165316, touch, yvonne, 460.5, 410.0, 2.0
2013-08-02T15:10:52.174050, touch, yvonne, 460.5, 412.5, 2.5
2013-08-02T15:10:52.185499, touch, yvonne, 460.5, 415.0, 2.5
2013-08-02T15:10:52.198873, touch, yvonne, 461.5, 417.5, 2.692582368850708
2013-08-02T15:10:52.217508, touch, yvonne, 463.5, 420.0, 3.2015621662139893
2013-08-02T15:10:52.235399, touch, yvonne, 465.0, 423.0, 3.3541018962860107
2013-08-02T15:10:52.256505, touch, yvonne, 467.5, 426.0, 3.9051249027252197
2013-08-02T15:10:52.267144, touch, yvonne, 470.5, 429.0, 4.242640495300293
2013-08-02T15:10:52.281844, touch, yvonne, 473.5, 432.0, 4.242640495300293
2013-08-02T15:10:52.302695, touch, yvonne, 476.0, 434.5, 3.535533905029297
