2013-08-03T11:47:47.106960, touch, christina, 666.5, 353.5, 1.4142135381698608
2013-08-03T11:47:47.118576, touch, christina, 665.5, 354.0, 1.1180340051651
2013-08-03T11:47:47.131827, touch, christina, 665.0, 355.0, 1.1180340051651
2013-08-03T11:47:47.154249, touch, christina, 664.5, 356.0, 1.1180340051651
2013-08-03T11:47:47.178134, touch, christina, 664.0, 356.5, 0.7071067690849304
2013-08-03T11:47:47.182450, touch, christina, 663.5, 356.5, 0.5
2013-08-03T11:47:47.197417, touch, christina, 663.5, 357.5, 1.0
2013-08-03T11:47:47.221697, touch, christina, 663.5, 358.0, 0.5
2013-08-03T11:47:47.232621, touch, christina, 663.5, 358.5, 0.5
2013-08-03T11:47:47.266989, touch, christina, 663.5, 359.0, 0.5
2013-08-03T11:47:47.350255, touch, christina, 663.5, 359.5, 0.5
2013-08-03T11:47:47.398121, touch, christina, 663.5, 360.5, 1.0
2013-08-03T11:47:47.500099, touch, christina, 663.5, 361.0, 0.5
2013-08-03T11:47:48.066046, touch, christina, 664.0, 361.0, 0.5
2013-08-03T11:47:48.198383, touch, christina, 664.5, 361.0, 0.5
2013-08-03T11:47:48.247509, touch, christina, 665.0, 361.0, 0.5
2013-08-03T11:47:48.547518, touch, christina, 665.0, 360.5, 0.5
2013-08-03T11:47:48.571974, touch, christina, 665.0, 360.0, 0.5
2013-08-03T11:47:48.599957, touch, christina, 665.0, 359.5, 0.5
2013-08-03T11:47:48.647812, touch, christina, 665.0, 359.0, 0.5
2013-08-03T11:47:48.715573, touch, christina, 665.0, 358.5, 0.5
2013-08-03T11:47:48.782718, touch, christina, 665.0, 358.0, 0.5
2013-08-03T11:47:48.998508, touch, christina, 665.0, 357.5, 0.5
2013-08-03T11:47:49.014563, touch, christina, 664.5, 357.5, 0.5
2013-08-03T11:47:49.033074, touch/ended, christina
2013-08-03T11:47:49.407226, touch, christina, 543.0, 392.5, 0.0
2013-08-03T11:47:49.448135, touch/ended, christina
2013-08-03T11:47:50.148218, touch, christina, 493.0, 424.5, 0.0
2013-08-03T11:47:50.214426, touch/ended, christina
2013-08-03T11:47:50.950921, touch, christina, 451.0, 411.0, 0.0
2013-08-03T11:47:51.030354, touch/ended, christina
2013-08-03T11:47:52.098316, touch, christina, 469.0, 413.5, 0.0
2013-08-03T11:47:52.165472, touch/ended, christina
2013-08-03T11:47:54.390300, touch, christina, 492.5, 376.0, 0.0
2013-08-03T11:47:54.478313, touch/ended, christina
2013-08-03T11:47:56.935624, touch, christina, 500.0, 429.5, 0.0
2013-08-03T11:47:56.992441, touch/ended, christina
2013-08-03T11:47:59.549812, touch, christina, 507.5, 403.0, 0.0
2013-08-03T11:47:59.605659, touch/ended, christina
2013-08-03T11:48:02.181156, touch, christina, 528.5, 372.0, 0.0
2013-08-03T11:48:02.302383, touch/ended, christina
