19.696493, 10.0.1.5, < (/metatone/online) ( 6769FE40-5F64-455B-82D4-814E26986A99)>
21.837981, 10.0.1.5, < (/metatone/switch) ( 6769FE40-5F64-455B-82D4-814E26986A99, loopingOn, NO)>
28.724992, 10.0.1.6, < (/metatone/online) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930)>
29.140573, 10.0.1.6, < (/metatone/switch) ( 1D7BCDC1-5AAB-441B-9C92-C3F00B6FF930, loopingOn, NO)>
206.019247, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 168, 124.5, 52.10086)>
206.032414, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 128, 150, 47.4368)>
206.056108, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 94, 175.5, 42.5)>
206.069346, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 65, 202, 39.28422)>
206.084702, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 41, 229.5, 36.5)>
206.103780, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 22, 254.5, 31.40064)>
206.118510, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 10, 278.5, 26.83282)>
206.135638, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 7, 297, 18.74166)>
206.152310, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 7, 316, 19)>
206.175002, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 13.5, 337, 21.98295)>
206.185844, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 31.5, 355, 25.45584)>
206.201351, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 58, 371, 30.95561)>
206.217874, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 94.5, 385, 39.09284)>
206.236377, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 142, 393.5, 48.25453)>
206.251941, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 199, 397, 57.10735)>
206.268645, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 262, 397.5, 63.00198)>
206.288110, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 328, 396.5, 66.00758)>
206.302271, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 398, 390, 70.30114)>
206.319536, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 466, 382, 68.46897)>
206.334163, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 537, 370.5, 71.92531)>
206.356796, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 620.5, 347, 86.74387)>
206.369076, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 702, 320, 85.85599)>
206.385774, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 767.5, 296, 69.75851)>
206.403697, 10.0.1.3, < (/metatone/touch) ( 97F37307-2A95-4796-BAC9-935BF417AC42, 823.5, 274, 60.16644)>
