time,B7116C0A-A6AE-48E3-AA63-81CFDD936EFA
2014-12-12T12:15:16.698690,0
2014-12-12T12:15:17.800435,0
2014-12-12T12:15:18.906503,5
2014-12-12T12:15:19.996747,5
2014-12-12T12:15:21.085088,5
2014-12-12T12:15:22.173656,8
2014-12-12T12:15:23.248619,8
2014-12-12T12:15:24.307857,0
2014-12-12T12:15:25.357140,0
2014-12-12T12:15:26.408909,0
2014-12-12T12:15:27.453985,0
2014-12-12T12:15:28.499278,0
2014-12-12T12:15:29.549281,0
2014-12-12T12:15:30.591179,0
2014-12-12T12:15:31.635375,0
2014-12-12T12:15:32.680690,0
2014-12-12T12:15:33.725911,0
2014-12-12T12:15:34.768848,0
2014-12-12T12:15:35.818187,0
2014-12-12T12:15:36.861939,0
2014-12-12T12:15:37.907356,0
2014-12-12T12:15:38.952511,0
2014-12-12T12:15:39.997828,0
2014-12-12T12:15:41.044851,0
2014-12-12T12:15:42.099335,0
2014-12-12T12:15:43.160263,0
2014-12-12T12:15:44.211117,0
2014-12-12T12:15:45.256505,0
2014-12-12T12:15:46.303498,0
2014-12-12T12:15:47.347229,0
2014-12-12T12:15:48.394674,0
2014-12-12T12:15:49.448457,0
2014-12-12T12:15:50.498403,0
2014-12-12T12:15:51.549812,0
2014-12-12T12:15:52.595254,0
2014-12-12T12:15:53.640703,0
2014-12-12T12:15:54.696395,0
2014-12-12T12:15:55.743718,0
2014-12-12T12:15:56.787067,0
2014-12-12T12:15:57.836330,0
2014-12-12T12:15:58.890375,0
2014-12-12T12:15:59.944295,0
2014-12-12T12:16:00.989685,0
2014-12-12T12:16:02.035100,0
2014-12-12T12:16:03.080398,0
2014-12-12T12:16:04.125733,0
2014-12-12T12:16:05.173870,0
2014-12-12T12:16:06.226966,0
2014-12-12T12:16:07.272347,0
2014-12-12T12:16:08.317638,0
2014-12-12T12:16:09.373616,0
2014-12-12T12:16:10.429719,0
2014-12-12T12:16:11.485581,0
2014-12-12T12:16:12.530986,0
2014-12-12T12:16:13.580023,0
2014-12-12T12:16:14.621659,0
2014-12-12T12:16:15.671868,0
2014-12-12T12:16:16.723968,0
2014-12-12T12:16:17.769993,0
2014-12-12T12:16:18.813667,0
2014-12-12T12:16:19.858891,0
2014-12-12T12:16:20.905319,0
2014-12-12T12:16:21.981673,0
2014-12-12T12:16:23.058863,0
2014-12-12T12:16:24.116799,0
2014-12-12T12:16:25.181485,0
2014-12-12T12:16:26.241812,0
2014-12-12T12:16:27.305127,0
2014-12-12T12:16:28.362518,0
2014-12-12T12:16:29.426985,0
2014-12-12T12:16:30.484616,0
2014-12-12T12:16:31.539951,0
2014-12-12T12:16:32.595901,0
2014-12-12T12:16:33.656759,0
2014-12-12T12:16:34.719073,0
2014-12-12T12:16:35.773497,0
2014-12-12T12:16:36.831161,0
2014-12-12T12:16:37.895980,0
2014-12-12T12:16:38.951917,0
2014-12-12T12:16:39.997362,0
2014-12-12T12:16:41.045983,0
2014-12-12T12:16:42.098634,0
2014-12-12T12:16:43.149419,0
2014-12-12T12:16:44.200000,0
2014-12-12T12:16:45.255890,0
2014-12-12T12:16:46.307911,0
2014-12-12T12:16:47.357568,0
2014-12-12T12:16:48.413473,0
2014-12-12T12:16:49.469261,0
2014-12-12T12:16:50.525162,0
2014-12-12T12:16:51.573690,0
2014-12-12T12:16:52.615817,0
2014-12-12T12:16:53.667515,0
2014-12-12T12:16:54.727942,0
2014-12-12T12:16:55.773164,0
2014-12-12T12:16:56.822655,0
2014-12-12T12:16:57.865031,0
2014-12-12T12:16:58.898924,0
2014-12-12T12:16:59.967602,0
2014-12-12T12:17:01.044668,2
2014-12-12T12:17:02.124556,4
2014-12-12T12:17:03.191794,4
2014-12-12T12:17:04.257965,4
2014-12-12T12:17:05.332811,4
2014-12-12T12:17:06.402779,4
2014-12-12T12:17:07.465354,4
2014-12-12T12:17:08.537908,4
2014-12-12T12:17:09.620677,4
2014-12-12T12:17:10.686450,3
2014-12-12T12:17:11.754130,4
2014-12-12T12:17:12.822523,4
2014-12-12T12:17:13.905253,4
2014-12-12T12:17:14.981988,3
2014-12-12T12:17:16.053934,3
2014-12-12T12:17:17.126254,3
2014-12-12T12:17:18.200101,4
2014-12-12T12:17:19.292536,3
2014-12-12T12:17:20.384846,3
2014-12-12T12:17:21.461283,3
2014-12-12T12:17:22.530730,4
2014-12-12T12:17:23.619279,4
2014-12-12T12:17:24.697803,3
2014-12-12T12:17:25.769632,4
2014-12-12T12:17:26.845502,4
2014-12-12T12:17:27.936342,4
2014-12-12T12:17:29.027383,4
2014-12-12T12:17:30.106732,4
2014-12-12T12:17:31.187522,3
2014-12-12T12:17:32.260742,4
2014-12-12T12:17:33.351298,4
2014-12-12T12:17:34.449016,4
